cell_id,model,dataset,algo,policy,use_merge,total_iters,n_attempts,n_accepted,acceptance_rate,first_merge_iter,last_merge_iter,mean_merge_iter,median_merge_iter,relative_first,relative_density,early_merge_count,early_merge_ratio,test_score,nomerge_baseline,lift_over_nomerge,severity_flag,run_dir
qwen3-8b|hotpotqa|combine_all|immediate,qwen3-8b,hotpotqa,combine_all,immediate,True,265,8,6,0.75,33,266,179.75,200.5,0.12452830188679245,0.03018867924528302,1,0.125,52.0,55.0,-3.0,severe,results/sec4_configuration_sweep_seed0/qwen3-8b/hotpotqa/combine_all_immediate_s0
qwen3-8b|hotpotqa|original|budget_proportional,qwen3-8b,hotpotqa,original,budget_proportional,True,202,2,2,1.0,112,119,115.5,115.5,0.5544554455445545,0.009900990099009901,0,0.0,46.33,55.0,-8.670000000000002,severe,results/sec4_configuration_sweep_seed0/qwen3-8b/hotpotqa/original_budget_proportional_s0
qwen3-8b|hotpotqa|summarize_before|budget_proportional,qwen3-8b,hotpotqa,summarize_before,budget_proportional,True,200,5,4,0.8,112,187,144.8,121.0,0.56,0.025,0,0.0,48.67,55.0,-6.329999999999998,severe,results/sec4_configuration_sweep_seed0/qwen3-8b/hotpotqa/summarize_before_budget_proportional_s0
qwen3-8b|hotpotqa|original|immediate,qwen3-8b,hotpotqa,original,immediate,True,139,9,7,0.7777777777777778,33,139,69.44444444444444,60.0,0.23741007194244604,0.06474820143884892,1,0.1111111111111111,44.33,55.0,-10.670000000000002,catastrophic,results/sec4_configuration_sweep_seed0/qwen3-8b/hotpotqa/original_immediate_s0
qwen3-8b|musique|nomerge|nomerge,qwen3-8b,musique,nomerge,nomerge,False,339,0,0,nan,nan,nan,nan,nan,nan,nan,0,nan,48.33,48.33,0.0,,results/sec4_configuration_sweep_seed0/qwen3-8b/musique/nomerge_s0
qwen3-8b|musique|summarize_before|immediate,qwen3-8b,musique,summarize_before,immediate,True,173,8,7,0.875,26,174,121.875,130.0,0.15028901734104047,0.046242774566473986,1,0.125,52.33,48.33,4.0,good,results/sec4_configuration_sweep_seed0/qwen3-8b/musique/summarize_before_immediate_s0
qwen3-8b|musique|combine_all|score_plateau,qwen3-8b,musique,combine_all,score_plateau,True,147,2,2,1.0,81,118,99.5,99.5,0.5510204081632653,0.013605442176870748,0,0.0,51.33,48.33,3.0,good,results/sec4_configuration_sweep_seed0/qwen3-8b/musique/combine_all_score_plateau_s0
qwen3-8b|musique|combine_all|budget_proportional,qwen3-8b,musique,combine_all,budget_proportional,True,152,7,7,1.0,70,153,104.28571428571429,108.0,0.4605263157894737,0.046052631578947366,0,0.0,50.0,48.33,1.6700000000000017,good,results/sec4_configuration_sweep_seed0/qwen3-8b/musique/combine_all_budget_proportional_s0
qwen3-8b|musique|original|score_plateau,qwen3-8b,musique,original,score_plateau,True,178,3,3,1.0,88,157,116.33333333333333,104.0,0.4943820224719101,0.016853932584269662,0,0.0,51.67,48.33,3.3400000000000034,good,results/sec4_configuration_sweep_seed0/qwen3-8b/musique/original_score_plateau_s0
qwen3-8b|musique|summarize_before|score_plateau,qwen3-8b,musique,summarize_before,score_plateau,True,235,2,2,1.0,93,205,149,149.0,0.39574468085106385,0.00851063829787234,0,0.0,52.0,48.33,3.6700000000000017,good,results/sec4_configuration_sweep_seed0/qwen3-8b/musique/summarize_before_score_plateau_s0
qwen3-8b|musique|combine_all|immediate,qwen3-8b,musique,combine_all,immediate,True,198,8,7,0.875,20,167,110.75,132.0,0.10101010101010101,0.04040404040404041,1,0.125,45.0,48.33,-3.3299999999999983,severe,results/sec4_configuration_sweep_seed0/qwen3-8b/musique/combine_all_immediate_s0
qwen3-8b|musique|original|budget_proportional,qwen3-8b,musique,original,budget_proportional,True,147,6,6,1.0,70,119,90.5,86.5,0.47619047619047616,0.04081632653061224,0,0.0,51.67,48.33,3.3400000000000034,good,results/sec4_configuration_sweep_seed0/qwen3-8b/musique/original_budget_proportional_s0
