group,task,cell,idx,origin,parents,val,parent_val,val_delta,mc_at_disc,prompt_chars,n_predictors
phase_a_qwen,hover,original_score_plateau_s0,10,reflect,[3],0.38,0.37,0.010000000000000009,3275,6120,4
phase_a_qwen,hover,original_score_plateau_s0,11,reflect,[6],0.36,0.36666666666666664,-0.006666666666666654,3593,5518,4
phase_a_qwen,hover,original_score_plateau_s0,12,merge,"[1, 4]",0.3933333333333333,0.3466666666666667,0.046666666666666634,3898,6702,4
phase_a_qwen,hover,original_score_plateau_s0,13,reflect,[8],0.38666666666666666,0.36333333333333334,0.023333333333333317,4213,4786,4
phase_a_qwen,hover,original_score_plateau_s0,14,reflect,[4],0.36666666666666664,0.3333333333333333,0.033333333333333326,4519,6951,4
phase_a_qwen,hover,original_score_plateau_s0,15,reflect,[12],0.37666666666666665,0.3933333333333333,-0.016666666666666663,4825,8143,4
phase_a_qwen,hover,original_score_plateau_s0,16,merge,"[7, 15]",0.42,0.41,0.010000000000000009,5130,9229,4
phase_a_qwen,hover,original_score_plateau_s0,17,reflect,[6],0.3566666666666667,0.36666666666666664,-0.009999999999999953,5505,5983,4
phase_a_qwen,hover,original_score_plateau_s0,18,reflect,[7],0.38666666666666666,0.41,-0.023333333333333317,5895,8588,4
phase_a_qwen,hover,original_score_plateau_s0,19,reflect,[3],0.38333333333333336,0.37,0.013333333333333364,6225,6014,4
phase_a_qwen,hover,original_score_plateau_s0,20,reflect,[10],0.37,0.38,-0.010000000000000009,6675,7934,4
phase_a_qwen,hover,original_score_plateau_s0,21,merge,"[7, 10]",0.4266666666666667,0.41,0.01666666666666672,6980,8322,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,0,seed,[None],0.27,,,0,290,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,1,reflect,[0],0.3466666666666667,0.27,0.07666666666666666,306,2342,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,2,reflect,[0],0.31666666666666665,0.27,0.046666666666666634,618,1723,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,3,reflect,[1],0.37,0.3466666666666667,0.023333333333333317,972,4100,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,4,reflect,[2],0.3333333333333333,0.31666666666666665,0.016666666666666663,1284,4650,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,5,reflect,[4],0.32666666666666666,0.3333333333333333,-0.006666666666666654,1647,6203,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,6,reflect,[2],0.36666666666666664,0.31666666666666665,0.04999999999999999,1983,3925,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,7,reflect,[3],0.38666666666666666,0.37,0.016666666666666663,2361,6137,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,8,merge,"[3, 5]",0.41333333333333333,0.37,0.043333333333333335,2666,6494,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,9,reflect,[1],0.37,0.3466666666666667,0.023333333333333317,3005,3982,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,10,merge,"[3, 6]",0.38333333333333336,0.37,0.013333333333333364,3310,5794,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,11,reflect,[6],0.41,0.36666666666666664,0.043333333333333335,3622,5887,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,12,merge,"[1, 6]",0.4033333333333333,0.36666666666666664,0.03666666666666668,3927,5977,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,13,reflect,[3],0.39,0.37,0.020000000000000018,4251,5821,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,14,merge,"[10, 13]",0.41333333333333333,0.39,0.023333333333333317,4556,5955,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,15,reflect,[13],0.36,0.39,-0.030000000000000027,4862,8729,4
phase_a_qwen,hover,summarize_before_budget_proportional_s0,16,merge,"[7, 8]",0.41,0.41333333333333333,-0.003333333333333355,5167,7105,4
